country,UAI,country_code
Greece,100,GR
Portugal,99,PT
Belgium,94,BE
Poland,93,PL
Japan,92,JP
Spain,86,ES
France,86,FR
Argentina,86,AR
South Korea,85,KR
Turkey,85,TR
Mexico,82,MX
Israel,81,IL
Brazil,76,BR
Italy,75,IT
Pakistan,70,PK
Austria,70,AT
Taiwan,69,TW
Saudi Arabia,68,SA
Egypt,68,EG
Germany,65,DE
Finland,59,FI
Iran,59,IR
Switzerland,58,CH
Netherlands,53,NL
Australia,51,AU
Norway,50,NO
New Zealand,49,NZ
Canada,48,CA
United States,46,US
India,40,IN
China,30,CN
Ireland,35,IE
United Kingdom,35,GB
Sweden,29,SE
Denmark,23,DK
Singapore,8,SG
Columbia,80,CO
Czech,74,CZ
South Africa,49,ZA
Thailand,64,TH
